molecule_chembl_id,pref_name,S_mchr1,S_mchr1_tierB,S_herg,selectivity_score,hit
CHEMBL1201129,DECITABINE,0.1647,0.186,0.1905,-0.0258,False
CHEMBL1201270,METHENAMINE,0.0492,0.06,0.075,-0.0258,False
CHEMBL1205,NELFINAVIR MESYLATE,0.1933,0.188,0.219,-0.0258,False
CHEMBL1770916,NIROGACESTAT,0.2018,0.2202,0.2277,-0.0259,False
CHEMBL1489,AZACITIDINE,0.1548,0.1648,0.1807,-0.026,False
CHEMBL1200555,IOTROLAN,0.1299,0.1585,0.1558,-0.026,False
CHEMBL1200807,NORELGESTROMIN,0.12,0.1414,0.1461,-0.0261,False
CHEMBL2111187,RADIUM DICHLORIDE,0.0364,0.0541,0.0625,-0.0261,False
CHEMBL6068337,LENALIDOMIDE HYDROCHLORIDE MONOHYDRATE,0.1739,0.1744,0.2,-0.0261,False
CHEMBL1237104,PROPOXYPHENE HYDROCHLORIDE,0.2405,0.2794,0.2667,-0.0262,False
CHEMBL1200545,DIFLORASONE DIACETATE,0.1389,0.15,0.165,-0.0262,False
CHEMBL4065616,REMDESIVIR,0.188,0.2018,0.2143,-0.0263,False
CHEMBL1200384,BETAMETHASONE DIPROPIONATE,0.1468,0.1584,0.1731,-0.0263,False
CHEMBL231779,APIXABAN,0.25,0.2727,0.2763,-0.0263,False
CHEMBL584,NELFINAVIR,0.2,0.1842,0.2264,-0.0264,False
CHEMBL1200562,HYDROCORTISONE VALERATE,0.1442,0.2083,0.1707,-0.0265,False
CHEMBL1159650,CLOBETASOL PROPIONATE,0.1481,0.1717,0.1748,-0.0266,False
CHEMBL2068864,FLUDEOXYGLUCOSE,0.0845,0.0896,0.1111,-0.0266,False
CHEMBL1650818,AMDINOCILLIN PIVOXIL,0.1667,0.1758,0.1933,-0.0266,False
CHEMBL338975,PHYSOSTIGMINE SALICYLATE,0.2234,0.253,0.25,-0.0266,False
CHEMBL2030434,FLUDEOXYGLUCOSE F 18,0.0845,0.0896,0.1111,-0.0266,False
CHEMBL503,LOVASTATIN,0.1455,0.156,0.172,-0.0266,False
CHEMBL3547132,FLUORODOPA,0.1733,0.1757,0.2,-0.0267,False
CHEMBL3400972,FLUORODOPA F 18,0.1733,0.1757,0.2,-0.0267,False
CHEMBL1727,CEPHALEXIN ANHYDROUS,0.2211,0.2051,0.2478,-0.0267,False
CHEMBL3039507,SOTAGLIFLOZIN,0.2022,0.225,0.2289,-0.0267,False
CHEMBL126,LINEZOLID,0.236,0.2529,0.2626,-0.0267,False
CHEMBL2219414,ERAVACYCLINE DIHYDROCHLORIDE,0.175,0.2018,0.2018,-0.0268,False
CHEMBL853,ZALCITABINE,0.1829,0.2239,0.2097,-0.0268,False
CHEMBL1533,DESOGESTREL,0.1287,0.1443,0.1556,-0.0268,False
CHEMBL989,FLUOCINOLONE ACETONIDE,0.1415,0.1478,0.1683,-0.0268,False
CHEMBL1697717,CARBENOXOLONE SODIUM,0.1284,0.1518,0.1553,-0.0269,False
CHEMBL1200544,CEPHALEXIN,0.2188,0.2025,0.2456,-0.0269,False
CHEMBL1200366,CEPHALEXIN HYDROCHLORIDE,0.2165,0.2,0.2435,-0.027,False
CHEMBL448,PENTOBARBITAL,0.1205,0.1343,0.1475,-0.0271,False
CHEMBL144673,HEXETIDINE,0.1395,0.1351,0.1667,-0.0271,False
CHEMBL1200632,CLINDAMYCIN PALMITATE HYDROCHLORIDE,0.1453,0.165,0.1724,-0.0271,False
CHEMBL1951095,ERAVACYCLINE,0.1765,0.2037,0.2035,-0.0271,False
CHEMBL1201336,FOSPHENYTOIN,0.1728,0.2,0.2,-0.0272,False
CHEMBL2448612,ERGOTAMINE TARTRATE,0.192,0.192,0.2193,-0.0273,False
CHEMBL31,GATIFLOXACIN,0.1959,0.2766,0.2234,-0.0275,False
CHEMBL3833401,ALUMINUM CHLORIDE ANHYDROUS,0.0179,0.04,0.0455,-0.0276,False
CHEMBL1569,AMANTADINE HYDROCHLORIDE,0.1014,0.0794,0.129,-0.0276,False
CHEMBL1213351,PROPOXYPHENE,0.2436,0.2836,0.2712,-0.0276,False
CHEMBL1504,TRIAMCINOLONE ACETONIDE,0.1524,0.1616,0.18,-0.0276,False
CHEMBL1738990,LEVOPROPOXYPHENE,0.2436,0.2836,0.2712,-0.0276,False
CHEMBL1201182,TEMSIROLIMUS,0.1161,0.1711,0.1438,-0.0277,False
CHEMBL220491,BRINZOLAMIDE,0.1828,0.2065,0.2105,-0.0277,False
CHEMBL437765,RIFAMYCIN,0.1417,0.1593,0.1695,-0.0278,False
CHEMBL110458,MIGALASTAT,0.1111,0.1148,0.1389,-0.0278,False
CHEMBL190,THEOPHYLLINE ANHYDROUS,0.1486,0.1831,0.1765,-0.0278,False
CHEMBL1201289,CLINDAMYCIN PALMITATE,0.1466,0.1667,0.1744,-0.0279,False
CHEMBL3989461,ROSE BENGAL SODIUM I 131,0.125,0.1579,0.1529,-0.0279,False
CHEMBL2107495,TEMAFLOXACIN HYDROCHLORIDE,0.234,0.2796,0.2619,-0.0279,False
CHEMBL1200610,LORACARBEF,0.2184,0.225,0.2464,-0.028,False
CHEMBL3391662,PARITAPREVIR,0.1969,0.2,0.2248,-0.028,False
CHEMBL110,BENZNIDAZOLE,0.2386,0.274,0.2667,-0.028,False
CHEMBL1071,OXAPROZIN,0.2143,0.2206,0.2424,-0.0281,False
CHEMBL1200735,MOXIFLOXACIN HYDROCHLORIDE,0.1818,0.1981,0.21,-0.0282,False
CHEMBL660,AMANTADINE,0.1029,0.0806,0.1311,-0.0282,False
CHEMBL1200668,CALCIUM CHLORIDE,0.0172,0.0385,0.0455,-0.0282,False
CHEMBL5314379,VOCLOSPORIN,0.12,0.1322,0.1483,-0.0283,False
CHEMBL1201064,FLUOROMETHOLONE ACETATE,0.1717,0.1667,0.2,-0.0283,False
CHEMBL1200572,MAGNESIUM OXIDE,0.0192,0.0417,0.0476,-0.0284,False
CHEMBL32,MOXIFLOXACIN,0.1837,0.2,0.2121,-0.0284,False
CHEMBL1200989,ALCLOMETASONE DIPROPIONATE,0.1284,0.1346,0.1569,-0.0284,False
CHEMBL1200866,PERFLUBRON,0.0758,0.0962,0.1042,-0.0284,False
CHEMBL277100,TEMAFLOXACIN,0.2366,0.2826,0.2651,-0.0285,False
CHEMBL3301669,DALBAVANCIN,0.1368,0.1546,0.1654,-0.0285,False
CHEMBL1141,POTASSIUM IODIDE,0.0,0.0317,0.0286,-0.0286,False
CHEMBL3301650,DALBAVANCIN HYDROCHLORIDE,0.1361,0.1538,0.1648,-0.0286,False
CHEMBL2105648,PALOVAROTENE,0.2088,0.2527,0.2375,-0.0287,False
CHEMBL3989571,SPECTINOMYCIN HYDROCHLORIDE,0.1319,0.1325,0.1607,-0.0288,False
CHEMBL1167,SPECTINOMYCIN,0.1348,0.1358,0.1636,-0.0288,False
CHEMBL1663,PERFLUTREN,0.05,0.0682,0.0789,-0.0289,False
CHEMBL1097279,CANGRELOR TETRASODIUM,0.1349,0.1694,0.1638,-0.0289,False
CHEMBL1643,RIBAVIRIN,0.1687,0.1667,0.1977,-0.029,False
CHEMBL84,TOPOTECAN,0.1776,0.1983,0.2065,-0.029,False
CHEMBL1013,LORACARBEF ANHYDROUS,0.2209,0.2278,0.25,-0.0291,False
CHEMBL1200814,ACETAZOLAMIDE SODIUM,0.1463,0.1538,0.1754,-0.0291,False
CHEMBL1201172,IODAMIDE MEGLUMINE,0.1313,0.1609,0.1605,-0.0292,False
CHEMBL1200496,CALCIUM,0.0,0.0156,0.0294,-0.0294,False
CHEMBL1236802,XENON,0.0,0.0286,0.0294,-0.0294,False
CHEMBL1796997,HELIUM,0.0,0.0182,0.0294,-0.0294,False
CHEMBL1233877,KRYPTON,0.0,0.0172,0.0294,-0.0294,False
CHEMBL571546,TIRBANIBULIN,0.3415,0.3714,0.371,-0.0295,False
CHEMBL4216467,RIPRETINIB,0.2255,0.2759,0.2551,-0.0296,False
CHEMBL1200696,POTASSIUM PERCHLORATE,0.0159,0.0308,0.0455,-0.0296,False
CHEMBL1173055,RUCAPARIB,0.191,0.2289,0.2208,-0.0298,False
CHEMBL442,ERGOTAMINE,0.2017,0.1949,0.2315,-0.0298,False
CHEMBL3608680,FEZOLINETANT,0.2088,0.2561,0.2386,-0.0298,False
CHEMBL2107431,LYNESTRENOL,0.125,0.1398,0.1548,-0.0298,False
CHEMBL7728,HEXOBARBITAL,0.1519,0.1579,0.1818,-0.0299,False
CHEMBL184,ACYCLOVIR,0.1412,0.2192,0.1711,-0.0299,False
CHEMBL2107381,URIDINE TRIACETATE,0.1724,0.2045,0.2024,-0.03,False
CHEMBL502097,MIPOMERSEN SODIUM,0.1118,0.1447,0.1419,-0.03,False
CHEMBL870,ALENDRONIC ACID,0.0875,0.1224,0.1176,-0.0301,False
CHEMBL1200660,ISOSORBIDE,0.0769,0.1045,0.1071,-0.0302,False
CHEMBL1200503,BROMOCRIPTINE MESYLATE,0.1742,0.1825,0.2045,-0.0303,False
CHEMBL1644695,SODIUM IODIDE,0.0,0.0217,0.0303,-0.0303,False
CHEMBL535396,RIMANTADINE HYDROCHLORIDE,0.0946,0.1143,0.125,-0.0304,False
CHEMBL5315120,ODEVIXIBAT SESQUIHYDRATE,0.175,0.1933,0.2054,-0.0304,False
CHEMBL494622,FLURPIRIDAZ,0.2024,0.2469,0.2329,-0.0305,False
CHEMBL850,SPARFLOXACIN,0.172,0.236,0.2025,-0.0305,False
CHEMBL2107799,FLURPIRIDAZ F 18,0.2024,0.2469,0.2329,-0.0305,False
CHEMBL1697708,MEZLOCILLIN SODIUM,0.1942,0.21,0.2247,-0.0305,False
CHEMBL871,ETIDRONIC ACID,0.0678,0.1373,0.0984,-0.0306,False
CHEMBL3989401,PAMIDRONATE DISODIUM,0.0854,0.14,0.1159,-0.0306,False
CHEMBL4297588,ODEVIXIBAT,0.1765,0.1949,0.2072,-0.0307,False
CHEMBL141,LAMIVUDINE,0.1647,0.2,0.1954,-0.0307,False
CHEMBL2105711,TOFOGLIFLOZIN,0.1765,0.2208,0.2073,-0.0308,False
CHEMBL1200680,SELENIUM SULFIDE,0.0,0.0204,0.0308,-0.0308,False
CHEMBL1766,DESOXIMETASONE,0.1735,0.1538,0.2043,-0.0308,False
CHEMBL1200365,AMINOHIPPURATE SODIUM,0.2192,0.3191,0.25,-0.0308,False
CHEMBL1330792,ACETARSONE,0.175,0.1944,0.2059,-0.0309,False
CHEMBL514800,APREMILAST,0.2165,0.2857,0.2474,-0.0309,False
CHEMBL1460,DIDANOSINE,0.1667,0.2179,0.1975,-0.0309,False
CHEMBL1689772,OMADACYCLINE,0.125,0.1574,0.156,-0.031,False
CHEMBL1389,LEVONORGESTREL,0.134,0.1505,0.1651,-0.0311,False
CHEMBL2107797,NORGESTREL,0.134,0.1505,0.1651,-0.0311,False
CHEMBL61593,CYCLOTHIAZIDE,0.1132,0.141,0.1444,-0.0312,False
CHEMBL461522,METAMIZOLE,0.2025,0.2273,0.2338,-0.0312,False
CHEMBL1630575,CASPOFUNGIN,0.1761,0.1935,0.2074,-0.0313,False
CHEMBL1201127,DARUNAVIR ETHANOLATE,0.1909,0.2,0.2222,-0.0313,False
CHEMBL1402684,OXYPHENISATIN ACETATE,0.1605,0.2192,0.1918,-0.0313,False
CHEMBL1601669,ALFACALCIDOL,0.1176,0.1296,0.1489,-0.0313,False
CHEMBL2110731,TOFOGLIFLOZIN ANHYDROUS,0.1786,0.2237,0.2099,-0.0313,False
CHEMBL2107383,VERNAKALANT HYDROCHLORIDE,0.2619,0.3133,0.2933,-0.0314,False
CHEMBL959,RIMANTADINE,0.0959,0.1159,0.1273,-0.0314,False
CHEMBL1488,URACIL MUSTARD,0.1351,0.1695,0.1667,-0.0315,False
CHEMBL451930,PLITIDEPSIN,0.1781,0.2178,0.2096,-0.0315,False
CHEMBL518924,MAVORIXAFOR,0.2268,0.1981,0.2584,-0.0316,False
CHEMBL1200845,HALCINONIDE,0.1442,0.1739,0.1759,-0.0317,False
CHEMBL104,CLOTRIMAZOLE,0.1905,0.1829,0.2222,-0.0317,False
CHEMBL696,ETHOSUXIMIDE,0.1111,0.125,0.1429,-0.0317,False
CHEMBL3291398,LEFAMULIN,0.1228,0.1455,0.1546,-0.0318,False
CHEMBL607400,BRIVARACETAM,0.1744,0.1765,0.2063,-0.0319,False
CHEMBL2147777,TENELIGLIPTIN,0.2041,0.22,0.236,-0.0319,False
CHEMBL3183453,NOVOBIOCIN SODIUM,0.175,0.1842,0.2069,-0.0319,False
CHEMBL506247,TANNIC ACID,0.1327,0.1687,0.1646,-0.0319,False
CHEMBL1908307,FLOSEQUINAN,0.2179,0.2639,0.25,-0.0321,False
CHEMBL6068327,ACETYLCYSTEINE LYSINE,0.125,0.1519,0.1571,-0.0321,False
CHEMBL1628233,FLUORESCEIN SODIUM,0.1705,0.1932,0.2025,-0.0321,False
CHEMBL2111112,VERNAKALANT,0.2651,0.3171,0.2973,-0.0322,False
CHEMBL1054,TRICHLORMETHIAZIDE,0.1122,0.1429,0.1446,-0.0323,False
CHEMBL1200685,XENON XE 133,0.0,0.02,0.0323,-0.0323,False
CHEMBL3989867,BICTEGRAVIR SODIUM,0.1923,0.2022,0.2247,-0.0324,False
CHEMBL2105695,TELOTRISTAT ETHYL,0.1887,0.2268,0.2211,-0.0324,False
CHEMBL1410743,PARALDEHYDE,0.0545,0.0725,0.087,-0.0324,False
CHEMBL1200855,TICARCILLIN DISODIUM,0.1515,0.1667,0.1839,-0.0324,False
CHEMBL3833314,ALUMINUM CHLORIDE,0.0164,0.027,0.0488,-0.0324,False
CHEMBL4594379,FOSLEVODOPA,0.1705,0.2254,0.2029,-0.0324,False
CHEMBL2206196,PAROMOMYCIN SULFATE,0.1158,0.117,0.1481,-0.0324,False
CHEMBL3989543,VINDESINE SULFATE,0.1691,0.1837,0.2016,-0.0324,False
CHEMBL1899801,PERFLENAPENT,0.0492,0.0727,0.0816,-0.0325,False
CHEMBL196,ASCORBIC ACID,0.12,0.1594,0.1525,-0.0325,False
CHEMBL1200607,PERFLEXANE,0.0492,0.0727,0.0816,-0.0325,False
CHEMBL1200376,BETAMETHASONE BENZOATE,0.1698,0.1892,0.2024,-0.0326,False
CHEMBL6068478,LAZERTINIB MESYLATE,0.2174,0.2589,0.25,-0.0326,False
CHEMBL514,LOMUSTINE,0.1795,0.2059,0.2121,-0.0326,False
CHEMBL1731,MEZLOCILLIN,0.2,0.2165,0.2326,-0.0326,False
CHEMBL1240,PROPANTHELINE BROMIDE,0.1786,0.2692,0.2113,-0.0327,False
CHEMBL203321,BRINCIDOFOVIR,0.1649,0.2069,0.1977,-0.0327,False
CHEMBL2104537,AMOPROXAN,0.2614,0.2614,0.2941,-0.0328,False
CHEMBL1214,CARBENICILLIN,0.2,0.1948,0.2329,-0.0329,False
CHEMBL36506,NOVOBIOCIN,0.1795,0.1892,0.2124,-0.0329,False
CHEMBL1200965,BACAMPICILLIN HYDROCHLORIDE,0.1835,0.2062,0.2165,-0.033,False
CHEMBL468,THALIDOMIDE,0.1852,0.2055,0.2182,-0.033,False
CHEMBL2107826,VIBEGRON,0.217,0.2323,0.25,-0.033,False
CHEMBL1583,BACAMPICILLIN,0.1835,0.2062,0.2165,-0.033,False
CHEMBL1014,CANDESARTAN CILEXETIL,0.215,0.2544,0.2479,-0.033,False
